         955577 function calls (954009 primitive calls) in 28.672 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.001    0.000    0.014    0.000 d:\CODE\Apps\Sequence_Constructor\objects\staff\staff.py:76(set_color)
     1544    0.008    0.000    0.013    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:237(__set_name__)
      101    0.012    0.000    0.013    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:60(_setup_svg_renderer)
      260    0.012    0.000    0.012    0.000 {built-in method load}
        1    0.000    0.000    0.012    0.012 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_widgets.py:11(setup_widgets)
     1916    0.006    0.000    0.011    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:353(__setitem__)
      360    0.002    0.000    0.011    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:201(get_possible_letters)
       77    0.011    0.000    0.011    0.000 {built-in method builtins.print}
        1    0.010    0.010    0.010    0.010 d:\CODE\Apps\Sequence_Constructor\widgets\optionboard\optionboard_view.py:42(populate_pictographs)
      803    0.003    0.000    0.010    0.000 d:\CODE\Apps\Sequence_Constructor\events\drag.py:93(move_to_cursor)
      931    0.007    0.000    0.010    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:279(determine_quadrant)
        1    0.000    0.000    0.009    0.009 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_layouts.py:39(setup_layouts)
       19    0.000    0.000    0.009    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\object_manager\graphboard_manipulators.py:9(update_arrow_and_staff)
        1    0.000    0.000    0.009    0.009 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_layouts.py:78(add_widgets_to_layouts)
        4    0.000    0.000    0.008    0.002 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:122(mousePressEvent)
        4    0.000    0.000    0.008    0.002 {function Graphboard.mousePressEvent at 0x000001E32E4A2340}
        4    0.000    0.000    0.008    0.002 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:66(mousePressEvent)
        1    0.005    0.005    0.008    0.008 d:\CODE\Apps\Sequence_Constructor\widgets\optionboard\letter_buttons_frame.py:13(__init__)
        1    0.000    0.000    0.008    0.008 d:\CODE\Apps\Sequence_Constructor\widgets\optionboard\optionboard_view.py:26(setup_ui)
        1    0.007    0.007    0.007    0.007 {built-in method addWidget}
      804    0.007    0.000    0.007    0.000 {built-in method move}
        1    0.000    0.000    0.007    0.007 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_layouts.py:121(add_attributes_widgets_to_layouts)
